Brand,Brand_Style,Neighbor_Rk,Neighbor_Idx,Neighbor_Dist
Cusquena Dark,International Dark Lager,6,202,5.431841585507506
Extra Gold,American-Style Lager,1,47,0
Extra Gold,American-Style Lager,2,135,0.043031781196864925
Extra Gold,American-Style Lager,3,129,0.15830680707306433
Extra Gold,American-Style Lager,4,120,0.33622872351015204
Extra Gold,American-Style Lager,5,130,0.6093047580819672
Extra Gold,American-Style Lager,6,131,2.027368122609386
Foster's,International Pale Lager,1,48,0
Foster's,International Pale Lager,2,84,2.9834078360504184
Foster's,International Pale Lager,3,116,2.990387649333856
Foster's,International Pale Lager,4,117,2.990387649333856
Foster's,International Pale Lager,5,136,3.038252669653247
Foster's,International Pale Lager,6,137,3.5819039356728806
Foster's Premium Ale,Strong Bitter (ESB),1,49,0
Foster's Premium Ale,Strong Bitter (ESB),2,116,4.376588281302029
Foster's Premium Ale,Strong Bitter (ESB),3,117,4.376588281302029
Foster's Premium Ale,Strong Bitter (ESB),4,136,4.3918105073603515
Foster's Premium Ale,Strong Bitter (ESB),5,84,4.394163366099927
Foster's Premium Ale,Strong Bitter (ESB),6,48,4.449171079699562
George Killian's Irish Red,Irish Red Lager,1,50,0
George Killian's Irish Red,Irish Red Lager,2,218,2.8779245966838864
George Killian's Irish Red,Irish Red Lager,3,91,2.9425330012577113
George Killian's Irish Red,Irish Red Lager,4,34,7.016407861139566
George Killian's Irish Red,Irish Red Lager,5,109,7.027687169315912
George Killian's Irish Red,Irish Red Lager,6,86,7.029915300645584
Grolsch Premium Lager,International Pale Lager,1,51,0
Grolsch Premium Lager,International Pale Lager,2,71,0.4055051660143372
Grolsch Premium Lager,International Pale Lager,3,24,0.4260575396466086
Grolsch Premium Lager,International Pale Lager,4,214,0.5787461073580785
Grolsch Premium Lager,International Pale Lager,5,67,0.5801493857785553
Grolsch Premium Lager,International Pale Lager,6,3,0.5988154203033899
Hamm's,American-Style Lager,1,52,0
Hamm's,American-Style Lager,2,182,0.1928265748851029
Hamm's,American-Style Lager,3,124,0.2392113677820113
Hamm's,American-Style Lager,4,127,0.36835258425727196
Hamm's,American-Style Lager,5,55,0.5094869518574735
Hamm's,American-Style Lager,6,86,1.3002797393079861
Hamm's Special Light,American-Style Light Lager,1,53,0
